Segmento;Quantidade
Marketing e Vendas;10
Finanças;8
Varejo;8
Educação;6
Agricultura;5
Internet;5
Saúde;4
Construção;3
Engenharia;3
Industrial;3
Recursos Humanos;3
Turismo;3
Alimento;2
Comunicação e Mídia;2
Energia;2
Entretenimento;2
Gestão e Dados;2
Jurídico;2
Arte;1
Automação Residencial;1
Automotivo;1
Biotecnologia;1
Consultoria;1
Eventos;1
Governo;1
Meio Ambiente;1
Mercado Condominial;1
Não definido;1
Nuvem;1
Pet;1
Propriedade Intelectual;1
Segurança;1
Serviço;1
Terceiro Setor;1
TIC;1
